 136 1 136
may 110 2 220
also 98 3 294
refer 76 4 304
known 70 5 350
greek 70 6 420
used 69 7 483
one 62 8 496
events 58 9 522
first 43 10 430
called 41 11 451
number 39 12 468
name 39 13 507
american 36 14 504
group 35 15 525
word 35 16 560
king 32 17 544
term 30 18 540
system 29 19 551
united 29 20 580
often 29 21 609
two 28 22 616
century 28 23 644
bc 27 24 648
english 27 25 675
form 27 26 702
states 27 27 729
th 27 28 756
ancient 27 29 783
latin 26 30 780
meaning 25 31 775
ii 24 32 768
alexander 24 33 792
book 23 34 782
law 22 35 770
atomic 22 36 792
computer 21 37 777
sometimes 21 38 798
common 21 39 819
chemical 21 40 840
element 21 41 861
son 21 42 882
c 21 43 903
aircraft 20 44 880
usually 20 45 900
person 20 46 920
several 20 47 940
language 19 48 912
french 19 49 931
roman 19 50 950
different 19 51 969
mathematics 19 52 988
state 19 53 1007
means 18 54 972
art 18 55 990
philosophy 18 56 1008
modern 17 57 969
life 17 58 986
family 17 59 1003
field 17 60 1020
many 17 61 1037
alphabet 16 62 992
according 16 63 1008
based 16 64 1024
including 16 65 1040
human 16 66 1056
early 16 67 1072
alfonso 16 68 1088
dictionary 16 69 1104
de 15 70 1050
ad 15 71 1065
systems 15 72 1080
german 15 73 1095
time 15 74 1110
music 14 75 1050
various 14 76 1064
mythology 14 77 1078
published 14 78 1092
work 14 79 1106
set 14 80 1120
people 14 81 1134
function 14 82 1148
commonly 13 83 1079
numbers 13 84 1092
refers 13 85 1105
study 13 86 1118
standard 13 87 1131
written 13 88 1144
government 13 89 1157
head 13 90 1170
part 13 91 1183
atom 13 92 1196
history 13 93 1209
september 13 94 1222
air 13 95 1235
series 13 96 1248
quotthe 13 97 1261
death 13 98 1274
second 13 99 1287
geometry 13 100 1300
audio 13 101 1313
letters 12 102 1224
within 12 103 1236
information 12 104 1248
type 12 105 1260
case 12 106 1272
referred 12 107 1284
since 12 108 1296
population 12 109 1308
power 12 110 1320
symbol 12 111 1332
atoms 12 112 1344
world 12 113 1356
given 12 114 1368
process 11 115 1265
using 11 116 1276
generally 11 117 1287
kingdom 11 118 1298
collection 11 119 1309
languages 11 120 1320
god 11 121 1331
found 11 122 1342
science 11 123 1353
religious 11 124 1364
father 11 125 1375
character 11 126 1386
body 11 127 1397
political 11 128 1408
great 11 129 1419
hebrew 11 130 1430
october 11 131 1441
genus 11 132 1452
born 11 133 1463
christian 11 134 1474
algebraic 11 135 1485
emperor 11 136 1496
matter 11 137 1507
theory 11 138 1518
space 11 139 1529
works 11 140 1540
alternative 11 141 1551
unit 11 142 1562
derived 11 143 1573
elements 11 144 1584
see 11 145 1595
south 10 146 1460
church 10 147 1470
structure 10 148 1480
developed 10 149 1490
created 10 150 1500
